Food code,Seq num,Portion code,Portion weight,Start date,End date
11211050,3,90000,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,4,63480,2.6,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,5,90002,126,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,6,90005,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,1,10205,252,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,2,30000,31.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,6,90005,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,7,90002,126,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,8,90000,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,1,10205,252,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,2,30000,31.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,3,90000,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,4,63480,2.6,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,5,90002,126,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,6,90005,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11220000,1,10205,304,"01/01/19 00:00:00","12/31/20 00:00:00"
11220000,2,30000,38,"01/01/19 00:00:00","12/31/20 00:00:00"
11220000,3,90000,19,"01/01/19 00:00:00","12/31/20 00:00:00"
11300100,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11300100,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11300100,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11300100,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11300100,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11320000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11320000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11320000,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11320000,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11320000,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11320100,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11320100,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11320100,3,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11320200,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11320200,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11320200,3,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11321000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11321000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11321000,3,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11321100,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11321100,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11321100,3,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11350000,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11350000,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11350000,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350010,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350010,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11350010,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11350010,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11350010,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350020,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350020,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
